,Nama Barang,Harga
0,iPhone 12 Pro/PM Second Original 256GB/128GB Second Mulus Original100%,6899000
1,iPhone 11 64/128 GB | New | Garansi Resmi iBox,6399000
2,iphone XR 128GB Beacukai,4999000
3,iPhone 13 Pro Max 1 TB Fulset Blue Bea Cukai Bisa Tukar Tambah,15990000
4,iPhone 13 Pro Max Graphite 256 Bea Cukai Fulset Mulus Bs Tukar Tambah,13990000
5,Apple iPhone 11 Garansi Resmi - 64GB 128GB,"5,95jt - 7,59jt"
6,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"9,55jt - 14,1jt"
7,IBOX Apple iPhone 15 128GB 256GB 512GB Blue Pink Yellow Green,"13,4jt - 25,4jt"
8,Apple iPhone 15 Pro Max Garansi Resmi - 256GB 512GB 1T,"21,8jt - 34,7jt"
9,HANDPHONE - APPLE IPHONE 15 PRO MAX GARANSI RESMI,"21,5jt - 29,9jt"
10,Apple iPhone 11 Garansi Resmi - 64GB 128GB,5954000
11,Iphone 11 128gb second original mulus,3700000
12,IBOX | iPhone 11 256GB 128GB 64GB Second Original,4254000
13,Apple iPhone 11 64 GB - Garansi Resmi iBox Apple Indonesia,6572000
14,Iphone 11 128GB Mulus Like New Gojek/Grab,4550000
15,Apple iPhone 13 128GB | 256GB | 512GB - Garansi Resmi iBox Apple Indo,9603000
16,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,9559000
17,iPhone 13 Pro Max 1TB 5G iBox 128GB 256GB 512GB - Not 12 Mini 256 128,9603000
18,IBOX iPhone 13 Pro Max ProMax 128GB 256GB 512GB 1TB Silver Gold Resmi,15949000
19,Iphone 13 128Gb/256Gb/512Gb Garansi Resmi IBOX/TAM,9584000
20,Apple iPhone 12 Garansi Resmi - 64GB 128GB,8249000
21,iphone 12 pro 128gb second original fullset,7000000
22,iPhone 13 Pro Max 1TB 5G iBox 128GB 256GB 512GB - Not 12 Mini 256 128,9603000
23,Apple iPhone 12 64GB - Garansi Resmi iBox Apple Indonesia,8275000
24,iPhone 12 Mini 64GB 128GB 256GB Second,4255000
25,iPhone XR 64gb 128gb second fullset ex inter,3449000
26,Iphone Xr 64 Gb 128 Gb 256 Gb Inter Second Like New,3550000
27,Iphone Xr Second/Bekas 128 - 64 Original 100%,2950000
28,iphone xr second 128gb exinter,3000000
29,Iphone xr 128gb second ori,3100000
30,iPhone 11 Pro SECOND,4650000
31,iBox | iPhone 11 | 12 | Pro | Pro Max 64GB 128GB 256GB Second ex iBox,3999000
32,Iphone 11 pro/promax 256Gb second bekas exinter,4775000
33,Iphone 11 Pro / promax Second Bekas Original Apple,4700000
34,iPhone 11 | 11 Pro | 11 Pro Max 64GB 256GB 512GB Bekas Fullset Second,3450000
